index,Country Name,Travel Destination,Checking,Things to Do,location,reviewcount,rating
10,Indonesia,Nusa Dua,Nusa Dua,"['Tur (148)', 'Aktivitas Luar Ruangan (106)', 'Spa & Kebugaran (81)', 'Tur dengan Perahu & Olahraga Air (70)', 'Transportasi (28)', 'Tempat Belanja (12)', 'Kursus & Sanggar (10)', 'Makanan & Minuman (9)', 'Hiburan malam (8)', 'Wisata Alam & Taman (7)', 'Hiburan & Permainan (5)', 'Pemandangan & Tengara (4)', 'Museum (2)', 'Konser & Pertunjukan (2)', 'Taman Air & Taman Hiburan (1)', '', 'Lihat semua', 'Cocok untuk Pasangan (90)', 'Harga terjangkau (61)', 'Bagus Saat Hujan (56)', 'Cocok untuk Anak-Anak (52)', 'Lokasi bulan madu (46)', 'Cocok untuk Kelompok Besar (37)', 'Cocok untuk Penggemar Aktivitas Ekstrem (17)', 'Tempat yang Belum Populer (9)', 'Masuk Gratis (8)', 'Berjiwa petualang (7)']","Semenanjung Nusa Dua, Indonesia",166489,4
11,Indonesia,Jimbaran,Jimbaran,"['Tur (187)', 'Aktivitas Luar Ruangan (104)', 'Tur dengan Perahu & Olahraga Air (61)', 'Spa & Kebugaran (52)', 'Tempat Belanja (22)', 'Transportasi (19)', 'Makanan & Minuman (10)', 'Kursus & Sanggar (7)', 'Hiburan & Permainan (7)', 'Pemandangan & Tengara (6)', 'Wisata Alam & Taman (3)', 'Hiburan malam (2)', 'Cocok untuk Pasangan (71)', 'Cocok untuk Anak-Anak (58)', 'Harga terjangkau (49)', 'Cocok untuk Kelompok Besar (49)', 'Bagus Saat Hujan (42)', 'Lokasi bulan madu (27)', 'Cocok untuk Penggemar Aktivitas Ekstrem (22)', 'Masuk Gratis (9)', 'Tempat yang Belum Populer (4)', 'Berjiwa petualang (2)']","Kuta Selatan, Indonesia",105628,3
12,Indonesia,Bandung,Bandung,"['Tur (92)', 'Aktivitas Luar Ruangan (67)', 'Tempat Belanja (66)', 'Pemandangan & Tengara (59)', 'Wisata Alam & Taman (47)', 'Spa & Kebugaran (38)', 'Transportasi (38)', 'Hiburan & Permainan (26)', 'Hiburan malam (20)', 'Museum (14)', 'Tur dengan Perahu & Olahraga Air (13)', 'Taman Air & Taman Hiburan (8)', 'Makanan & Minuman (5)', 'Kursus & Sanggar (3)', 'Kebun Binatang & Akuarium (2)', '', 'Lihat semua', 'Harga terjangkau (67)', 'Cocok untuk Anak-Anak (66)', 'Masuk Gratis (50)', 'Bagus Saat Hujan (45)', 'Cocok untuk Kelompok Besar (40)', 'Cocok untuk Pasangan (32)', 'Cocok untuk Penggemar Aktivitas Ekstrem (13)', 'Tempat yang Belum Populer (5)', 'Berjiwa petualang (5)', 'Lokasi bulan madu (1)']","Jawa Barat, Indonesia",153302,4
13,Indonesia,Sanur,Sanur,"['Tur (348)', 'Aktivitas Luar Ruangan (279)', 'Tur dengan Perahu & Olahraga Air (221)', 'Spa & Kebugaran (94)', 'Transportasi (47)', 'Tempat Belanja (38)', 'Kursus & Sanggar (20)', 'Makanan & Minuman (17)', 'Wisata Alam & Taman (9)', 'Pemandangan & Tengara (7)', 'Hiburan & Permainan (5)', 'Hiburan malam (4)', 'Museum (3)', 'Konser & Pertunjukan (1)', 'Sumber Informasi Wisatawan (1)', 'Cocok untuk Pasangan (113)', 'Harga terjangkau (83)', 'Bagus Saat Hujan (77)', 'Cocok untuk Anak-Anak (53)', 'Cocok untuk Kelompok Besar (44)', 'Lokasi bulan madu (36)', 'Cocok untuk Penggemar Aktivitas Ekstrem (36)', 'Berjiwa petualang (25)', 'Masuk Gratis (16)', 'Tempat yang Belum Populer (12)']","Denpasar, Indonesia",201289,2
14,Indonesia,Batam,Batam,"['Spa & Kebugaran (93)', 'Tur (65)', 'Transportasi (47)', 'Aktivitas Luar Ruangan (44)', 'Tempat Belanja (39)', 'Pemandangan & Tengara (24)', 'Hiburan malam (23)', 'Wisata Alam & Taman (21)', 'Tur dengan Perahu & Olahraga Air (18)', 'Makanan & Minuman (14)', 'Hiburan & Permainan (13)', 'Kursus & Sanggar (4)', 'Konser & Pertunjukan (3)', 'Taman Air & Taman Hiburan (2)', 'Museum (1)', '', 'Lihat semua', 'Bagus Saat Hujan (60)', 'Harga terjangkau (44)', 'Cocok untuk Pasangan (40)', 'Cocok untuk Anak-Anak (28)', 'Cocok untuk Kelompok Besar (27)', 'Masuk Gratis (20)', 'Lokasi bulan madu (11)', 'Cocok untuk Penggemar Aktivitas Ekstrem (4)', 'Tempat yang Belum Populer (2)', 'Berjiwa petualang (1)']","Riau Archipelago, Indonesia",59610,3
15,Indonesia,Lombok,Lombok,"['Tur (722)', 'Aktivitas Luar Ruangan (697)', 'Tur dengan Perahu & Olahraga Air (298)', 'Transportasi (125)', 'Wisata Alam & Taman (106)', 'Spa & Kebugaran (84)', 'Tempat Belanja (44)', 'Pemandangan & Tengara (39)', 'Kursus & Sanggar (23)', 'Makanan & Minuman (18)', 'Hiburan malam (17)', 'Hiburan & Permainan (14)', 'Museum (4)', 'Taman Air & Taman Hiburan (2)', 'Kebun Binatang & Akuarium (1)', '', 'Lihat semua', 'Cocok untuk Pasangan (238)', 'Harga terjangkau (197)', 'Cocok untuk Kelompok Besar (174)', 'Cocok untuk Penggemar Aktivitas Ekstrem (146)', 'Bagus Saat Hujan (112)', 'Berjiwa petualang (108)', 'Cocok untuk Anak-Anak (104)', 'Lokasi bulan madu (88)', 'Masuk Gratis (50)', 'Tempat yang Belum Populer (33)']","Nusa Tenggara Barat, Indonesia",274440,2
16,Indonesia,Canggu,Canggu,"['Tur (133)', 'Aktivitas Luar Ruangan (111)', 'Tur dengan Perahu & Olahraga Air (72)', 'Spa & Kebugaran (65)', 'Kursus & Sanggar (31)', 'Tempat Belanja (23)', 'Transportasi (22)', 'Hiburan & Permainan (16)', 'Makanan & Minuman (15)', 'Wisata Alam & Taman (8)', 'Hiburan malam (5)', 'Taman Air & Taman Hiburan (2)', 'Konser & Pertunjukan (2)', 'Pemandangan & Tengara (1)', 'Museum (1)', 'Cocok untuk Pasangan (72)', 'Bagus Saat Hujan (61)', 'Harga terjangkau (58)', 'Cocok untuk Anak-Anak (46)', 'Cocok untuk Penggemar Aktivitas Ekstrem (35)', 'Cocok untuk Kelompok Besar (25)', 'Masuk Gratis (17)', 'Lokasi bulan madu (16)', 'Berjiwa petualang (16)', 'Tempat yang Belum Populer (9)']","Kuta Utara, Indonesia",96894,1
17,Indonesia,Surabaya,Surabaya,"['Tur (104)', 'Aktivitas Luar Ruangan (86)', 'Pemandangan & Tengara (48)', 'Tempat Belanja (47)', 'Spa & Kebugaran (37)', 'Transportasi (23)', 'Hiburan & Permainan (19)', 'Wisata Alam & Taman (17)', 'Hiburan malam (16)', 'Museum (16)', 'Tur dengan Perahu & Olahraga Air (16)', 'Makanan & Minuman (10)', 'Kursus & Sanggar (5)', 'Taman Air & Taman Hiburan (5)', 'Sumber Informasi Wisatawan (2)', '', 'Lihat semua', 'Masuk Gratis (49)', 'Cocok untuk Anak-Anak (40)', 'Harga terjangkau (38)', 'Bagus Saat Hujan (36)', 'Cocok untuk Kelompok Besar (35)', 'Cocok untuk Pasangan (23)', 'Cocok untuk Penggemar Aktivitas Ekstrem (9)', 'Tempat yang Belum Populer (3)', 'Berjiwa petualang (3)']","Jawa Timur, Indonesia",86213,3
18,Indonesia,Denpasar,Denpasar,"['Tur (1.542)', 'Aktivitas Luar Ruangan (888)', 'Tur dengan Perahu & Olahraga Air (558)', 'Transportasi (331)', 'Spa & Kebugaran (150)', 'Tempat Belanja (147)', 'Makanan & Minuman (80)', 'Kursus & Sanggar (71)', 'Hiburan & Permainan (44)', 'Pemandangan & Tengara (38)', 'Wisata Alam & Taman (30)', 'Hiburan malam (26)', 'Museum (25)', 'Konser & Pertunjukan (5)', 'Taman Air & Taman Hiburan (2)', '', '', 'Lihat semua', 'Cocok untuk Pasangan (408)', 'Cocok untuk Anak-Anak (323)', 'Harga terjangkau (312)', 'Cocok untuk Kelompok Besar (268)', 'Bagus Saat Hujan (170)', 'Lokasi bulan madu (145)', 'Cocok untuk Penggemar Aktivitas Ekstrem (131)', 'Masuk Gratis (59)', 'Berjiwa petualang (57)', 'Tempat yang Belum Populer (38)']","Bali, Indonesia",291402,3
19,Indonesia,Bogor,Bogor,"['Wisata Alam & Taman (42)', 'Aktivitas Luar Ruangan (41)', 'Tur (37)', 'Pemandangan & Tengara (30)', 'Tempat Belanja (16)', 'Tur dengan Perahu & Olahraga Air (13)', 'Hiburan & Permainan (11)', 'Spa & Kebugaran (10)', 'Transportasi (8)', 'Taman Air & Taman Hiburan (7)', 'Museum (6)', 'Makanan & Minuman (4)', 'Kursus & Sanggar (2)', 'Hiburan malam (1)', 'Sumber Informasi Wisatawan (1)', 'Cocok untuk Anak-Anak (19)', 'Harga terjangkau (16)', 'Cocok untuk Kelompok Besar (12)', 'Cocok untuk Pasangan (7)', 'Masuk Gratis (6)', 'Cocok untuk Penggemar Aktivitas Ekstrem (5)', 'Berjiwa petualang (4)', 'Tempat yang Belum Populer (3)', 'Bagus Saat Hujan (3)', 'Lokasi bulan madu (1)']","Jawa Barat, Indonesia",38424,5
